Id,Nom,Code,AreaNumber,CityId,CommuneId,ZoneId,a_geom
a03fe6ab-0cd8-4ae5-ae11-449f53b41d7b,13 éme DBLE,ED,,dae98fb9-6113-4bd2-8730-19f2ee3bb759,9598edd5-42d3-4ee0-bfd6-ad876b2063c8,,f
fa5425ac-16f1-4515-9f2f-e72b606eabfd,Ambouli,AM,,dae98fb9-6113-4bd2-8730-19f2ee3bb759,9598edd5-42d3-4ee0-bfd6-ad876b2063c8,,f
c2488599-c32e-4a0a-b761-4c7a06d705b8,BACHE A EAU,BE,,dae98fb9-6113-4bd2-8730-19f2ee3bb759,24adc8fc-0e87-444d-b21f-56fab82f7104,,f
9f60d7e6-e922-4909-af7d-cd62f56e1b33,Bahache,BA,,dae98fb9-6113-4bd2-8730-19f2ee3bb759,24adc8fc-0e87-444d-b21f-56fab82f7104,,f
1e222daa-c0cd-48d8-b521-323ca52efd6e,BALBALA ANCIEN,BN,,dae98fb9-6113-4bd2-8730-19f2ee3bb759,24adc8fc-0e87-444d-b21f-56fab82f7104,,f
b74f777c-2119-4782-a367-ac7e5ec4e6df,BALBALA Q11,BL,,dae98fb9-6113-4bd2-8730-19f2ee3bb759,24adc8fc-0e87-444d-b21f-56fab82f7104,,f
63e360d1-cee4-48f8-9446-bfc3ed74307e,BALBALA Q 5,BQ,,dae98fb9-6113-4bd2-8730-19f2ee3bb759,24adc8fc-0e87-444d-b21f-56fab82f7104,,f
ed291971-9dc5-44b7-9e81-adb71775cdee,Boulaos,BO,,dae98fb9-6113-4bd2-8730-19f2ee3bb759,9598edd5-42d3-4ee0-bfd6-ad876b2063c8,,f
03030c58-b26d-4ccb-986f-8c8b49d5f90a,Brise de mer 1,BD,,dae98fb9-6113-4bd2-8730-19f2ee3bb759,459d6b09-f27d-4d5b-a020-c0d7e23b68f2,,f
f1d3b61d-415c-4eb6-9ae2-0bae21c51a01,Centre Commercial et Admnistratif,CC,,dae98fb9-6113-4bd2-8730-19f2ee3bb759,459d6b09-f27d-4d5b-a020-c0d7e23b68f2,,f
4c2f2d35-34f5-4e75-be5e-6fa5770d65f9,Château d'eau,CD,102,9bc8584e-b99c-439d-91c3-94f167328cf4,,,f
9c7c8b4c-369e-4ae4-b86c-cc3725cbc94d,Cheik Moussa,CM,102,dae98fb9-6113-4bd2-8730-19f2ee3bb759,,,t
2152ac52-3184-4240-837f-0f7fa86e65f5,Cimetière,CI,,dae98fb9-6113-4bd2-8730-19f2ee3bb759,24adc8fc-0e87-444d-b21f-56fab82f7104,,f
