source,ogc_fid,nom,type_revet,etat_chaus,longueur_m,lon,lat
voierie_tertiaire_bitumee,20,,,,608,43.167162,11.558021
voierie_tertiaire_bitumee,21,,,,323,43.168608,11.559380
voierie_tertiaire_bitumee,22,,,,207,43.167210,11.561847
voierie_tertiaire_bitumee,23,,,,156,43.168082,11.563069
voierie_tertiaire_bitumee,24,,,,951,43.166240,11.566982
voierie_tertiaire_bitumee,25,,,,140,43.163167,11.570114
voierie_tertiaire_bitumee,26,,,,444,43.168752,11.561602
voierie_tertiaire_bitumee,27,,,,510,43.165634,11.558823
voierie_tertiaire_bitumee,28,,,,45,43.165252,11.558644
voierie_tertiaire_bitumee,29,,,,175,43.165456,11.557612
voierie_tertiaire_bitumee,30,,,,104,43.165918,11.556782
voierie_tertiaire_bitumee,31,,,,114,43.162161,11.558411
voierie_tertiaire_bitumee,32,,,,434,43.162800,11.560145
voierie_tertiaire_bitumee,33,,,,280,43.152725,11.558695
voierie_tertiaire_bitumee,34,,,,424,43.154900,11.558025
voierie_tertiaire_bitumee,35,,,,265,43.153697,11.558915
voierie_tertiaire_bitumee,36,,,,258,43.154665,11.559165
voierie_tertiaire_bitumee,37,,,,117,43.155795,11.558840
voierie_tertiaire_bitumee,38,,,,329,43.154206,11.558987
voierie_tertiaire_bitumee,39,,,,328,43.154164,11.559127
voierie_tertiaire_bitumee,40,,,,318,43.151093,11.558245
voierie_tertiaire_bitumee,41,,,,216,43.144365,11.564302
voierie_tertiaire_bitumee,42,,,,48,43.144217,11.564818
voierie_tertiaire_bitumee,43,,,,152,43.144376,11.565019
voierie_tertiaire_bitumee,48,,,,290,43.150568,11.603346
voierie_tertiaire_bitumee,50,,,,185,43.157131,11.603189
voierie_tertiaire_bitumee,55,,,,80,43.145413,11.609850
voierie_tertiaire_bitumee,58,,,,99,43.154298,11.607400
voierie_tertiaire_bitumee,67,,,,145,43.147956,11.588245
voierie_tertiaire_bitumee,70,,,,130,43.148140,11.587597
voierie_tertiaire_non_bitumee,11,,,,149,43.144744,11.582307
voierie_tertiaire_non_bitumee,26,,,,91,43.144756,11.580161
voierie_tertiaire_non_bitumee,27,,,,75,43.144900,11.579973
voierie_tertiaire_non_bitumee,28,,,,86,43.144833,11.580391
voierie_tertiaire_non_bitumee,29,,,,129,43.145189,11.579831
voierie_tertiaire_non_bitumee,30,,,,84,43.143562,11.582035
voierie_tertiaire_non_bitumee,33,,,,86,43.149158,11.584291
voierie_tertiaire_non_bitumee,34,,,,91,43.149313,11.584442
voierie_tertiaire_non_bitumee,35,,,,62,43.149402,11.582893
voierie_tertiaire_non_bitumee,36,,,,62,43.149393,11.582995
voierie_tertiaire_non_bitumee,42,,,,57,43.151175,11.584654
voierie_tertiaire_non_bitumee,43,,,,34,43.151454,11.584607
voierie_tertiaire_non_bitumee,44,,,,80,43.149882,11.583719
voierie_tertiaire_non_bitumee,45,,,,122,43.150112,11.583596
voierie_tertiaire_non_bitumee,46,,,,41,43.150226,11.583277
voierie_tertiaire_non_bitumee,47,,,,115,43.150341,11.583637
voierie_tertiaire_non_bitumee,48,,,,91,43.151262,11.583986
voierie_tertiaire_non_bitumee,49,,,,72,43.150547,11.583465
voierie_tertiaire_non_bitumee,52,,,,66,43.151669,11.585122
voierie_tertiaire_non_bitumee,53,,,,45,43.151320,11.585088
voierie_tertiaire_non_bitumee,54,,,,49,43.148937,11.582119
voierie_tertiaire_non_bitumee,55,,,,180,43.147818,11.580450
voierie_tertiaire_non_bitumee,56,,,,48,43.147498,11.580773
voierie_tertiaire_non_bitumee,57,,,,75,43.147321,11.580718
voierie_tertiaire_non_bitumee,59,,,,17,43.147331,11.580275
voierie_tertiaire_non_bitumee,70,,,,267,43.149640,11.583673
voierie_tertiaire_non_bitumee,72,,,,53,43.149298,11.582666
voierie_tertiaire_non_bitumee,73,,,,53,43.149184,11.582651
voierie_tertiaire_non_bitumee,74,,,,93,43.149054,11.584391
voierie_tertiaire_non_bitumee,75,,,,91,43.148902,11.584364
voierie_tertiaire_non_bitumee,76,,,,113,43.148612,11.584156
voierie_tertiaire_non_bitumee,77,,,,116,43.148388,11.584111
voierie_tertiaire_non_bitumee,80,,,,113,43.148762,11.583145
voierie_tertiaire_non_bitumee,82,,,,87,43.149196,11.583994
voierie_tertiaire_non_bitumee,83,,,,33,43.149209,11.584151
voierie_tertiaire_non_bitumee,84,,,,120,43.149069,11.583426
voierie_tertiaire_non_bitumee,85,,,,107,43.149314,11.583526
voierie_tertiaire_non_bitumee,86,,,,93,43.149487,11.583534
voierie_tertiaire_non_bitumee,87,,,,91,43.149939,11.584534
voierie_tertiaire_non_bitumee,88,,,,193,43.150888,11.584297
voierie_tertiaire_non_bitumee,89,,,,56,43.149689,11.584643
voierie_tertiaire_non_bitumee,90,,,,57,43.149405,11.583778
voierie_tertiaire_non_bitumee,91,,,,315,43.150910,11.582861
voierie_tertiaire_non_bitumee,92,,,,159,43.151278,11.582913
voierie_tertiaire_non_bitumee,93,,,,57,43.151271,11.583230
voierie_tertiaire_non_bitumee,94,,,,70,43.151634,11.583273
voierie_tertiaire_non_bitumee,95,,,,215,43.148164,11.575945
voierie_tertiaire_non_bitumee,96,,,,144,43.147998,11.575299
voierie_tertiaire_non_bitumee,97,,,,46,43.147159,11.575068
voierie_tertiaire_non_bitumee,98,,,,61,43.147019,11.574739
voierie_tertiaire_non_bitumee,101,,,,57,43.148273,11.571232
voierie_tertiaire_non_bitumee,103,,,,281,43.152365,11.558549
voierie_tertiaire_non_bitumee,104,,,,347,43.132485,11.569292
voierie_tertiaire_non_bitumee,105,,,,181,43.132045,11.568278
voierie_tertiaire_non_bitumee,106,,,,136,43.132735,11.568668
voierie_tertiaire_non_bitumee,107,,,,161,43.133066,11.565921
voierie_tertiaire_non_bitumee,108,,,,161,43.132828,11.565796
voierie_tertiaire_non_bitumee,109,,,,164,43.132581,11.565666
voierie_tertiaire_non_bitumee,110,,,,59,43.133471,11.565744
voierie_tertiaire_non_bitumee,114,,,,113,43.144048,11.590756
voierie_tertiaire_non_bitumee,115,,,,26,43.147715,11.580554
voierie_tertiaire_non_bitumee,116,,,,27,43.147933,11.580690
voierie_tertiaire_non_bitumee,117,,,,16,43.148182,11.580825
voierie_tertiaire_non_bitumee,118,,,,79,43.148440,11.580542
voierie_tertiaire_non_bitumee,119,,,,41,43.148064,11.580408
voierie_tertiaire_non_bitumee,120,,,,57,43.143717,11.581460
voierie_tertiaire_non_bitumee,121,,,,9,43.143797,11.581281
voierie_tertiaire_non_bitumee,150,,,,67,43.143247,11.574481
voierie_tertiaire_non_bitumee,157,,,,80,43.137606,11.575999
voierie_tertiaire_non_bitumee,166,,,,74,43.139211,11.572531
voierie_tertiaire_non_bitumee,167,,,,75,43.139041,11.572285
voierie_tertiaire_non_bitumee,168,,,,76,43.138858,11.572054
voierie_tertiaire_non_bitumee,169,,,,74,43.138692,11.571826
voierie_tertiaire_non_bitumee,170,,,,80,43.138499,11.571613
voierie_tertiaire_non_bitumee,174,,,,213,43.137336,11.571053
voierie_tertiaire_non_bitumee,175,,,,215,43.137171,11.570840
voierie_tertiaire_non_bitumee,176,,,,215,43.137003,11.570629
voierie_tertiaire_non_bitumee,177,,,,218,43.136857,11.570404
voierie_tertiaire_non_bitumee,178,,,,210,43.136734,11.570181
