Id,Code,Name,Type
ec4cbeb8-dd74-4401-b901-f7964d4f31f2,SIG-ACHAT-BOGOREH,BLVD ACHAT BOGOREH,Boulevard
a36e2a6a-4a5d-468b-a2df-cca94f89592f,SIG-ADM-BERNARD,Av ADM BERNARD,Avenue
9d5a1cbd-85c0-45e1-ab0c-4828526c8ae7,SIG-ADM-BERNARD,Av ADM BERNARD,Avenue
2c287aa3-229f-462a-b848-75d858881a77,SIG-ALI-COUBECHE,RUE ALI COUBECHE,Rue
2829feaa-0edc-4f8e-b147-4f5a1e7cfd9f,SIG-BONHOURE,BLD BONHOURE,Boulevard
bc50056b-1b92-462b-81d5-27af1efbcf43,SIG-BONHOURE,BLD BONHOURE,Boulevard
44d32f9d-c448-4693-bcfb-947cb6ac99f2,SIG-BONN,Rue Bonn,Rue
e53ce0ee-229a-418f-a6f0-43719b436da3,SIG-BOUHAN-BEY,Rue Bouhan Bey,Rue
15fb42e3-f85a-452f-8b29-ee266daff429,SIG-BRAZAVILLE,AVENUE BRAZAVILLE,Avenue
103b6d4b-1e44-4bc9-aef4-c4fad755d921,SIG-BRUXELLE,Blvd Bruxelle,Boulevard
b304344f-91d3-4dda-a8a3-49a527cca203,SIG-BRUXELLE,Blvd Bruxelle,Boulevard
6d190ad5-3293-4a23-bedf-061f5c2e7f94,SIG-CIRCULAIRE-DE-L-IGADE,Route circulaire de l' Igade,Route
5c7199bf-33c5-4883-9443-269c9e5ab721,SIG-D-ADDIS-ABEBA,RUE D'ADDIS ABEBA,Rue
c99f47f3-6adf-4ca3-9ab7-81d8d51f2b76,SIG-D-ALEXANDRIE,Rue d' Alexandrie,Rue
221a6b09-fafd-488b-b921-d010c1e86751,SIG-D-ALI-SABIEH,Rue d' Ali_- Sabieh,Rue
0713f14d-be15-482e-90ad-0df34be558cf,SIG-DE-ATHENE,Rue de Athene,Rue
157c0c87-a5c3-4fe9-a202-e433d09e749b,SIG-DE-BIR-HAKEIM,RUE DE BIR HAKEIM,Rue
8335237e-935b-4c3f-a41c-34c49b53ffad,SIG-DE-BRUXELLES,RUE DE BRUXELLES,Rue
e50ecae9-ede9-4cc1-9853-4f38fea2613f,SIG-DE-GENEVE,RUE DE GENEVE,Rue
d5d7d47a-6915-44fa-9c6d-64e05c5b4d3f,SIG-DE-GUYNEMER,RUE DE GUYNEMER,Rue
4030efe7-b981-45bd-982c-fddf4e7eeaf3,SIG-DE-KAMPALA,RUE DE KAMPALA,Rue
2b6e3604-0065-4c3f-bde5-8995163599d6,SIG-DE-KHARTOUM,RUE DE KHARTOUM,Rue
6593ee72-632f-485c-94f8-e019d030593a,SIG-DE-L-AMIRAL-COURBET,RUE DE L'AMIRAL COURBET,Rue
7623a04d-bb8d-4e5f-8080-1ad4d1cbcb7d,SIG-DE-L-AMIRRAL-COURBET,Rue de l' Amirral Courbet,Rue
525cc280-08d1-4d8c-8c17-b4040d5eb1bb,SIG-DE-LA-MOSQUEE,RUE DE LA MOSQUEE,Rue
755778f0-a182-4bd0-856b-2e6a831a662b,SIG-DE-LA-PAIX,RUE DE LA PAIX,Rue
7244ddc8-8ead-4032-a4e5-e4aed4ee2633,SIG-DE-LA-REPUBLIQUE,BLVD DE LA REPUBLIQUE,Boulevard
8329b5ba-9755-492b-875c-cc0ed6e07dda,SIG-DE-LA-REPUBLIQUE,BLVD DE LA REPUBLIQUE,Boulevard
294d44d7-6500-4d00-a137-fe23773b6994,SIG-DE-LONDRE,RUE DE LONDRE,Rue
1e7e390a-2fd2-41cd-a905-413646e2873d,SIG-DE-MARSEILLE,RUE DE MARSEILLE,Rue
da81499e-9cd9-48cd-bc45-1164f86d362f,SIG-DE-MOGADISHO,RUE DE MOGADISHO,Rue
a8641f8f-ce7a-4f50-816e-2f70e068b2f3,SIG-DE-MOSCOU,RUE DE MOSCOU,Rue
081e502c-09e8-4a94-8992-ca8d2175ef17,SIG-DE-NAIROBI,RUE DE NAIROBI,Rue
5df67bd6-73e0-40d8-a70b-16cdda52070c,SIG-DENIS-RIVOYRE,Rue Denis  Rivoyre,Rue
ba76df3a-5b48-4e2c-8b4c-a7747cf771e1,SIG-DE-PARIS,Rue de Paris,Rue
5001dc21-6da9-4604-a998-8254ee81ec65,SIG-DE-ROME,Rue de Rome,Rue
a743da93-04c8-4f48-ac75-c79d949ace91,SIG-DE-ROYAN,Rue de Royan,Rue
b0b0abb8-b671-424e-bc46-f044b3724cca,SIG-DES-ECOLES,Rue des ecoles,Rue
651129af-245a-4d77-9310-0350d4c46ac5,SIG-D-ETHIOPIE,RUE D'ETHIOPIE,Rue
5ad9c321-8283-489b-b547-e8a1349e13c3,SIG-DE-VENISE,ROUTE DE VENISE,Route
dd643c5f-412b-4762-81d8-88a9e204df95,SIG-DE-ZEILA,rue de zeila,Rue
30ccdc4a-c613-4cb5-97e9-7dab3823e181,SIG-DIKHIL,Rue Dikhil,Rue
c94d91c3-a0af-4b5a-8bde-9b7cc6e64bae,SIG-DORALEH,ROUTE DORALEH,Route
5bac71fe-1094-423e-8ba2-3183d3eb330b,SIG-DU-HERON,Av. du  Heron,Avenue
83ab5e21-7578-4812-ab0f-0c5733579121,SIG-DU-HERON,Av. du  Heron,Avenue
4ba670dd-0ff1-4438-8ce5-726f510a6724,SIG-DU-PROFESSEUR-ROUX,RUE DU PROFESSEUR ROUX,Rue
14995828-edff-443f-a10f-e4efc1376c99,SIG-DU-RAS-MAKONNEN,Rue du Ras Makonnen,Rue
c06066e0-2ff1-4af1-a541-f4a233a4ef83,SIG-FUKUZAWA,Av . Fukuzawa,Avenue
ccdeedc1-519b-4d7a-ac39-5c12f0c3c2c7,SIG-FUKUZAWA,Av . Fukuzawa,Avenue
c4d10b89-0d33-423e-b0ea-6c40440f9633,SIG-GAMAL-ABDEL-NASSER,AVENUE GAMAL  ABDEL NASSER,Avenue
f971c8f7-0037-42e1-be68-ded7d9aabb1c,SIG-GENERALE-DE-GAULE,BLVD GENERALE DE GAULE,Boulevard
be2ee405-6371-451b-827f-937f7028911b,SIG-GENERALE-DE-GAULE,BLVD GENERALE DE GAULE,Boulevard
e83087a7-a60b-41cd-bd69-fb79570c3d4e,SIG-GEORGE-PAMPIDOU,AVENUE GEORGE PAMPIDOU,Avenue
275d7bb3-3e89-4db2-9d08-53f8685dd3be,SIG-GUELLEH-BATAL,Bvd Guelleh Batal,Boulevard
23d7b004-4f02-48e8-93a6-85869596d28e,SIG-GUELLEH-BATAL,Bvd Guelleh Batal,Boulevard
ca4b9b2c-6ef4-4de7-9f98-e045b092b35d,SIG-HASSAN-GOULED-APTIDON,HASSAN GOULED APTIDON,Rue
400a6d55-a226-4d48-abf7-a9e2e288357a,SIG-HASSAN-HOUSSEIN,RUE HASSAN HOUSSEIN,Rue
f79da2e2-006d-444e-a9b7-f62896fcbd94,SIG-HENRY-LAMBERT,RUE HENRY LAMBERT,Rue
8531a14e-91d6-44e8-9dc6-020fe72ad6fd,SIG-HOUMED-LOAITA,Rue Houmed Loaita,Rue
4a55a527-d6ff-4b83-81de-6229a48fa1ef,SIG-IDRISS-OMAR-GUELLEH,BLVD IDRISS OMAR GUELLEH,Boulevard
3393f2de-5b94-4ea2-927b-9f188b58c971,SIG-IDRISS-OMAR-GUELLEH,BLVD IDRISS OMAR GUELLEH,Boulevard
fa9847ca-9c38-44ca-b268-2968dacfa3cd,SIG-KHOR-BOURHAN,Blvd Khor Bourhan,Boulevard
e62a15eb-7bf5-422d-ba01-0f423f6e7f0d,SIG-KHOR-BOURHAN,Blvd Khor Bourhan,Boulevard
1399f9db-2930-44b8-9cb3-0dc760349f24,SIG-L-AEROPORRT,Route  l' aeroporrt,Route
9013c6b3-4ca4-4bd4-b545-848980cb93c9,SIG-L-AEROPORT,Route  l' aeroport,Route
7d9c6f75-d3c1-4c02-838c-31408fc11c6a,SIG-LA-SIESTA,ROUTE LA SIESTA,Route
c99f3177-83d8-4701-b076-5a8b065fe76d,SIG-LOYADA,Av.  Loyada,Avenue
45c7627a-2800-44bd-bc44-27211b6132f7,SIG-LOYADA,Av.  Loyada,Avenue
127f1762-33a7-4f83-84aa-5ce36645e62e,SIG-MAHAMED-DAHAN-ABDALLAAH,Mahamed dahan Abdallaah,Rue
614b2de4-1959-4391-85cc-911cf156988a,SIG-MAHAMED-DJAMA-ELABAH,Mahamed Djama Elabah,Rue
32158e65-8c5f-4515-935f-d3280c79024d,SIG-MARCHAND,RUE MARCHAND,Rue
6be46997-a1b1-46be-83ab-977f4d9e7636,SIG-MARECHAL-FRANCHET-D-ESPERAY,Boul Marechal Franchet d' Esperay,Boulevard
2e29f455-3a48-483b-9d83-d85cdaa90daf,SIG-MARECHAL-FRANCHET-D-ESPERAY,Boul Marechal Franchet d' Esperay,Boulevard
b8883536-eebf-4b74-ba51-371fb5a46466,SIG-MARECHAL-FRANCHET-D-ESPERY,BLVD MARECHAL FRANCHET d'espery,Boulevard
9655c083-a414-4fe1-b7c5-ea68ce9ab208,SIG-MARECHAL-FRANCHET-D-ESPERY,BLVD MARECHAL FRANCHET d'espery,Boulevard
4e3dfde8-e720-415b-85c6-4a663dc2cb6f,SIG-MED-AHMED-ISSA-CHEIKO,Bvd Med Ahmed Issa Cheiko,Boulevard
e24dc466-d0c3-4974-ade0-07b742f9a6e8,SIG-MED-AHMED-ISSA-CHEIKO,Bvd Med Ahmed Issa Cheiko,Boulevard
c3b530ec-f915-43d6-b297-3d6b6dd61bba,SIG-MED-F-DIRIEH-DIT-DJANALEH,Av Med F.Dirieh dit djanaleh,Avenue
86aa5dfb-8c4f-4c4e-b94f-fa3353d5d344,SIG-MED-F-DIRIEH-DIT-DJANALEH,Av Med F.Dirieh dit djanaleh,Avenue
bede1f86-194a-48b0-8188-1c75c7af358c,SIG-MOHAMED-DILEITA-CHEHEM,Mohamed  Dileita Chehem,Rue
06fada8e-425d-4322-879f-54d074b97118,SIG-NASRO-HOUMED-ABRO,RUE NASRO HOUMED ABRO,Rue
8d12b01f-5d51-43be-8c72-d493ce6ed5ef,SIG-NATIONAL-1,ROUTE NATIONAL 1,Route
34ed9ae5-cecb-4118-9849-e1673bcd775d,SIG-RAS-MAKONNEN,RUE RAS MAKONNEN,Rue
4ded0b8a-8b10-47ef-b0f5-15492f1247ca,SIG-ROCHER-D-HERICOURT,RUE ROCHER D'HERICOURT,Rue
98a345ad-944d-4207-bc4c-28f28de36b66,SIG-ROOSEVELT,Av Roosevelt,Avenue
4bf34e5e-18c0-47f0-8e5f-cec2035069bd,SIG-ROOSEVELT,Av Roosevelt,Avenue
023f88dc-16a6-4ed7-973b-6d0fad306133,SIG-R-P-DE-FOUCAULT,RUE R.P DE FOUCAULT,Rue
b6461ec1-0b81-4c4d-9aee-98e8a0409996,SIG-SALAH-O-HILDID,AVENUE SALAH O.HILDID,Avenue
fdca352a-cb60-46b0-b287-ecdc17c3a971,SIG-T-32,T 32,Rue
15ab4527-9515-42d5-8c09-16d2115a9cf3,SIG-T-45,T 45,Rue
98117a52-ccc7-499d-bfd7-33bb4d9f14b0,SIG-T-50,T 50,Rue
b504b866-4bbd-4e98-868e-dfbe56d779af,SIG-T-58,T 58,Rue
931bb64a-6987-4440-86bd-a2f1acbe38aa,SIG-TADJOURAH,Rue  Tadjourah,Rue
